space_id,space_name,space_longname,spatialzone_name,spatialzone_longname,spatialzone_type,storey_id,storey_name,building_id,building_name,parent_id,parent_name,parent_type,parent_longname
01ff6bcb-9596-4780-bf9a-bc1e938666ab,STORE COMMON:1438929,STORE COMMON,,,,e3e052f9-0156-11d5-9301-0000863f269a,Level_01,05587af9-f099-4553-a05b-106372672cd3,,e3e052f9-0156-11d5-9301-0000863f269a,Level_01,IfcBuildingStorey,Level_01
0d3b5d91-d2cf-4b65-8047-e9e7b4e3feb2,Pyörähdysympyrä 3:Turning Free Space 1500:2178242,,,,,,,,,5ca07fc8-306e-458d-9c07-aaee5e9116da,STAIRCASE:1702266,IfcSpace,STAIRCASE
0eb52b54-fd22-4a10-a814-0bc36045fa88,Pyörähdysympyrä 26:Turning Free Space 1500:1818732,,,,,,,,,d9c3bdc8-8b33-424a-b7c7-de3a24957d8f,COMMUNAL SPACE:1401781,IfcSpace,COMMUNAL SPACE
1d142bc7-06a6-49f0-87bb-c23ca05f8c92,1,GFA,,,,,,,,2d99307a-66cd-4439-b173-5c88d252647c,Gross Building,IfcGroup,
1d142bc7-06a6-49f0-87bb-c23ca05f8c92,1,GFA,,,,e3e052f9-0156-11d5-9301-0000863f269a,Level_01,05587af9-f099-4553-a05b-106372672cd3,,e3e052f9-0156-11d5-9301-0000863f269a,Level_01,IfcBuildingStorey,Level_01
23bafde2-2e19-4521-9ac3-c480b0afee36,Pyörähdysympyrä 36:Turning Free Space 1500:1886946,,,,,,,,,328f0778-34bd-44b8-8007-d579f58d69b3,VESTIBULE:1721296,IfcSpace,VESTIBULE
23bafde2-2e19-4521-9ac3-c480b0afef94,Pyörähdysympyrä 38:Turning Free Space 1500:1887040,,,,,,,,,b8ecb908-5f21-4971-9efe-e7c6855402e4,AS-1.03,IfcSpace,VESTIBULE
23bafde2-2e19-4521-9ac3-c480b0afef9d,Pyörähdysympyrä 39:Turning Free Space 1500:1887049,,,,,,,,,b8ecb908-5f21-4971-9efe-e7c6855402e4,AS-1.03,IfcSpace,VESTIBULE
23bafde2-2e19-4521-9ac3-c480b0afefcd,Pyörähdysympyrä 9:Turning Free Space 1500:1887001,,,,,,,,,65d681d3-06bc-4853-be8c-94f762e8ecfc,VESTIBULE:1721432,IfcSpace,VESTIBULE
23bafde2-2e19-4521-9ac3-c480b0afeff6,Pyörähdysympyrä 37:Turning Free Space 1500:1887010,,,,,,,,,65d681d3-06bc-4853-be8c-94f762e8ecfc,VESTIBULE:1721432,IfcSpace,VESTIBULE
253094fc-434f-4cef-a9e5-e2927b1f48ee,HSTO.AS1,3H+K+WC+KPH,,,,458c0e49-01bb-11d5-9302-0000863f251b,Level_02,05587af9-f099-4553-a05b-106372672cd3,,458c0e49-01bb-11d5-9302-0000863f251b,Level_02,IfcBuildingStorey,Level_02
253094fc-434f-4cef-a9e5-e2927b1f48ee,HSTO.AS1,3H+K+WC+KPH,,,,,,,,2d99307a-66cd-4439-b173-5c88d2526478,Rentable,IfcGroup,
29298d3b-f2d5-4460-af71-066af5e53dd9,VOLUME:VOLUME:1876779,,,,,,,,,5ca07fc8-306e-458d-9c07-aaee5e911588,LIFT:1702440,IfcSpace,LIFT
2d39cdcf-21f9-44c8-b3e9-78c2dd008966,HSTO.AS2,4H+K+WC+KPH+S,,,,458c0e49-01bb-11d5-9302-0000863f251b,Level_02,05587af9-f099-4553-a05b-106372672cd3,,458c0e49-01bb-11d5-9302-0000863f251b,Level_02,IfcBuildingStorey,Level_02
