relationship;relating;related;optionalRelated;optionalRelating
IfcRelAggregates;relatingObject;relatedObjects;;
IfcRelAssignsToGroup;relatingGroup;relatedObjects;relatedObjectsType;
IfcRelAssignsToProcess;relatingProcess;relatedObjects;relatedObjectsType;
IfcRelAssignsToResource;relatingResource;relatedObjects;relatedObjectsType;
IfcRelAssignsToControl;relatingControl;relatedObjects;relatedObjectsType;
IfcRelAssociatesClassification;relatingClassification;relatedObjects;;
IfcRelAssociatesMaterial;relatingMaterial;relatedObjects;;
IfcRelConnectsPathElements;relatingElement;relatedElement;relatedConnectionType;relatingConnectionType
IfcRelContainedInSpatialStructure;relatingStructure;relatedElements;;
IfcRelDefinesByProperties;relatingPropertyDefinition;relatedObjects;;
IfcRelDefinesByType;relatingType;relatedObjects;;
IfcRelFillsElement;relatingOpeningElement;relatedBuildingElement;;
IfcRelSpaceBoundary;relatingSpace;relatedBuildingElement;;
IfcRelVoidsElement;relatingBuildingElement;relatedOpeningElement;;
